Country,Year,USD,Local
Cambodia,2000,3677897739,1.41746E+13
Cambodia,2001,3984000517,1.56332E+13
Cambodia,2002,4284028483,1.67805E+13
Cambodia,2003,4658246918,1.85352E+13
Cambodia,2004,5337833248,2.14383E+13
Cambodia,2005,6293046162,2.57543E+13
Cambodia,2006,7274595707,2.98495E+13
Cambodia,2007,8639235842,3.50422E+13
Cambodia,2008,10351914093,4.19684E+13
Cambodia,2009,10401851851,4.30567E+13
Cambodia,2010,11242275199,4.7048E+13
Cambodia,2011,12829541141,5.20687E+13
Cambodia,2012,14054443213,5.66816E+13
Cambodia,2013,15227991395,6.13269E+13
Cambodia,2014,16702610842,6.74368E+13
Cambodia,2015,18049954289,7.34227E+13
Cambodia,2016,20016747754,8.12419E+13
Cambodia,2017,22158209503,8.97536E+13
Lao PDR,2000,1731198022,1.36384E+13
Lao PDR,2001,1768619058,1.57018E+13
Lao PDR,2002,1758176653,1.7682E+13
Lao PDR,2003,2023324407,2.12773E+13
Lao PDR,2004,2366398120,2.50493E+13
Lao PDR,2005,2735558726,2.91478E+13
Lao PDR,2006,3452882514,3.50811E+13
Lao PDR,2007,4222962988,4.05538E+13
Lao PDR,2008,5443915121,4.76028E+13
Lao PDR,2009,5832915387,4.96734E+13
Lao PDR,2010,7127792630,5.88668E+13
Lao PDR,2011,8749241114,7.02569E+13
Lao PDR,2012,10191350120,8.16099E+13
Lao PDR,2013,11942230508,9.38676E+13
Lao PDR,2014,13268458232,1.06797E+14
Lao PDR,2015,14390391264,1.17252E+14
Lao PDR,2016,15805707154,1.29279E+14
Lao PDR,2017,16853079615,1.40749E+14
Myanmar,2000,8905066164,2.55273E+12
Myanmar,2001,6477790688,3.54847E+12
Myanmar,2002,6777632512,5.62525E+12
Myanmar,2003,10467109978,7.71662E+12
Myanmar,2004,10567354056,9.07893E+12
Myanmar,2005,11986972419,1.22868E+13
Myanmar,2006,14502553710,1.68528E+13
Myanmar,2007,20182477481,2.33361E+13
Myanmar,2008,31862554102,2.92333E+13
Myanmar,2009,36906181381,3.3894E+13
Myanmar,2010,49540813342,3.97768E+13
Myanmar,2011,59977326086,4.63079E+13
Myanmar,2012,59937797559,5.12593E+13
Myanmar,2013,60269734045,5.80116E+13
Myanmar,2014,65446402659,6.52621E+13
Myanmar,2015,59687373958,7.2714E+13
Myanmar,2016,63225097051,7.97209E+13
Myanmar,2017,69322122756,9.34899E+13
Thailand,2000,1.26392E+11,5.06982E+12
Thailand,2001,1.20297E+11,5.34501E+12
Thailand,2002,1.34301E+11,5.76958E+12
Thailand,2003,1.52281E+11,6.3173E+12
Thailand,2004,1.72895E+11,6.95427E+12
Thailand,2005,1.89318E+11,7.61441E+12
Thailand,2006,2.21758E+11,8.40066E+12
Thailand,2007,2.62943E+11,9.07631E+12
Thailand,2008,2.91383E+11,9.70693E+12
Thailand,2009,2.8171E+11,9.65866E+12
Thailand,2010,3.41105E+11,1.08082E+13
Thailand,2011,3.70819E+11,1.13069E+13
Thailand,2012,3.97558E+11,1.23573E+13
Thailand,2013,4.20333E+11,1.29152E+13
Thailand,2014,4.07339E+11,1.32303E+13
Thailand,2015,4.01399E+11,1.3747E+13
Thailand,2016,4.11755E+11,1.45335E+13
Thailand,2017,4.55221E+11,1.54501E+13
Vietnam,2000,31172518403,4.41646E+14
Vietnam,2001,32685198735,4.81295E+14
Vietnam,2002,35064105501,5.35762E+14
Vietnam,2003,39552513316,6.13443E+14
Vietnam,2004,45427854693,7.15307E+14
Vietnam,2005,57633255618,9.14001E+14
Vietnam,2006,66371664817,1.06157E+15
Vietnam,2007,77414425532,1.24677E+15
Vietnam,2008,99130304099,1.61605E+15
Vietnam,2009,1.06015E+11,1.80915E+15
Vietnam,2010,1.15932E+11,2.15783E+15
Vietnam,2011,1.35539E+11,2.77988E+15
Vietnam,2012,1.5582E+11,3.24542E+15
Vietnam,2013,1.71222E+11,3.58426E+15
Vietnam,2014,1.86205E+11,3.93786E+15
Vietnam,2015,1.93241E+11,4.19286E+15
Vietnam,2016,2.05276E+11,4.50273E+15
Vietnam,2017,2.23864E+11,5.00786E+15
